PLAYER;TEAM;DIV;POS;BORN;GP;MP;ORTG;DRTG;NRTG;OBPM;DBPM;BPM;VORP;OWS;DWS;WS;WS/40;PER
Bennett Spree;Baskets Juniors Oldenburg;A;Combo;2006;6;69.7;95.7;109.3;-13.6;-3.0;-0.4;-3.3;-0.2;0.0;0.0;0.0;0.01;9.7
Richard Schmitt;Alba Berlin;A;Wing;2007;5;82.6;72.3;88.6;-16.3;-2.7;-0.3;-3.0;-0.2;-0.2;0.1;0.0;-0.01;9.7
Gaston Nguyen Manh;Sartorius Juniors;A;Point;2008;3;94.8;86.0;109.6;-23.5;-1.8;0.0;-1.9;0.2;-0.1;0.0;-0.1;-0.05;9.4
Muhamad-Adel Soumare Medford;UBC Münster;A;Forward;2006;2;30.1;67.7;98.9;-31.2;-4.4;-0.4;-4.7;-0.6;-0.1;0.0;-0.1;-0.09;9.1
Lukas Wiegeler;UBC Münster;A;Combo;2007;3;27.3;79.6;100.7;-21.0;-5.1;-0.8;-5.8;-1.1;0.0;0.0;0.0;-0.04;9.0
Anton Nufer;Alba Berlin;A;Combo;2006;6;134.3;78.9;92.1;-13.2;-0.9;-0.2;-1.2;0.7;-0.1;0.2;0.1;0.02;8.9
Teis Hümmels;Sartorius Juniors;A;Big;2005;3;23.1;90.5;109.1;-18.6;-4.2;0.2;-4.0;-0.1;0.0;0.0;0.0;-0.01;8.5
Maximilian zur Linde;Baskets Paderborn;A;Wing;2006;3;78.4;68.4;88.5;-20.1;-3.3;-0.3;-3.5;-0.7;-0.1;0.1;0.0;-0.02;8.4
Jordan Knacke;KICKZ IBAM;A;Forward;2007;1;17.7;89.2;103.4;-14.2;-3.8;0.1;-3.7;0.1;0.0;0.0;0.0;0.07;8.2
Johannes Hellmann;Young Rasta Dragons;A;Wing;2006;7;42.6;97.7;94.5;3.3;-2.6;-0.3;-2.9;0.4;0.0;0.1;0.1;0.09;8.1
Tim-Felix Bühren;Young Rasta Dragons;A;Wing;2005;4;30.4;100.0;97.1;2.9;-4.1;-0.7;-4.8;-0.6;0.0;0.0;0.1;0.09;8.0
Jannis Grußendorf;FC Bayern München;A;Combo;2005;3;53.9;97.7;102.4;-4.7;-2.5;0.5;-2.0;0.6;0.0;0.0;0.1;0.04;8.0
Paul Bahn;Alba Berlin;A;Combo;2006;6;124.5;70.8;89.7;-18.9;-2.8;-0.1;-2.9;-0.5;-0.3;0.2;-0.1;-0.03;8.0
Lazar Jalovi;Tornados Franken;A;Wing;2007;1;2.5;0.0;55.2;-55.2;-4.8;0.3;-4.5;0.1;0.0;0.0;0.0;-0.26;7.8
Ognjen Cocic;KICKZ IBAM;A;Wing;2005;4;91.2;80.3;112.4;-32.1;-3.3;-0.3;-3.5;-0.7;-0.1;0.0;-0.2;-0.08;7.7
Joshua Sievers;UBC Münster;A;Forward;2005;3;65.1;75.8;96.3;-20.6;-2.9;-0.5;-3.4;-0.4;-0.1;0.0;0.0;-0.02;7.2
Erik Larsen;Sartorius Juniors;A;Combo;2005;3;54.6;84.0;108.3;-24.2;-3.9;-0.4;-4.3;-0.8;-0.1;0.0;-0.1;-0.05;7.2
