PLAYER;TEAM;DIV;POS;BORN;GP;MP;FIC;FIC/Gm;PIE;AS RATIO;AS RATE;AS/TO;REB%;ST%;BS%;USAGE;TS%
Stefan Bogdan;ART Giants Düsseldorf;B;Forward;2005;5;130.0;66.0;13.2;16.4;6.0;17.2;1.4;15.8;3.5;2.7;27.6;56.2
Julius Hoffmann;USC Heidelberg;B;Combo;2005;9;247.0;65.4;7.3;7.4;7.5;20.3;1.0;8.8;4.0;0.4;18.8;48.1
Jeremy Julian Kolev;KICKZ IBAM;A;Forward;2005;14;374.6;65.3;4.7;3.9;5.2;15.2;0.8;9.4;2.2;3.8;17.1;41.6
Noah Koch;Young Rasta Dragons;A;Wing;2007;8;190.3;65.1;8.1;9.2;2.5;6.7;0.5;11.6;5.1;0.5;22.6;52.9
Joscha Zentgraf;Eintracht Frankfurt;B;Forward;2005;9;212.4;65.0;7.2;6.8;6.5;19.1;1.2;14.5;3.2;0.0;17.5;47.9
Stefan Radic;TS Jahn München;B;Big;2005;9;200.6;64.9;7.2;8.9;0.4;1.2;0.1;19.7;2.4;3.2;17.9;49.8
Dyami Janeck;Team Bonn/Rhöndorf;B;Combo;2005;11;237.6;64.6;5.9;7.2;8.1;23.1;1.0;10.4;3.7;0.8;24.1;52.0
Ivan Crnjac;Eintracht Frankfurt;B;Wing;2007;7;208.4;64.3;9.2;12.3;2.2;5.8;0.6;10.2;2.0;0.0;26.9;52.4
Noah Wittmann;RheinStars Köln;B;Forward;2005;9;228.6;63.4;7.0;7.1;2.3;6.1;0.5;9.2;1.8;0.8;17.9;60.7
Mika Freitag;Rostock Seawolves;B;Combo;2006;6;188.9;63.0;10.5;13.6;2.6;7.1;0.7;8.0;1.6;0.0;36.1;54.6
Zoran Milicic;ratiopharm Ulm;B;Point;2006;11;232.0;63.0;5.7;5.9;6.7;19.2;0.9;6.5;5.8;0.4;22.2;53.2
Jordan Müller;ratiopharm Ulm;B;Point;2006;10;229.4;62.5;6.3;6.2;11.1;35.3;2.0;3.4;3.9;1.3;19.7;48.5
David Volz;VfL Kirchheim Knights;B;Combo;2005;13;355.9;62.1;4.8;5.2;6.1;18.5;1.0;6.6;1.0;0.3;23.9;47.4
Valentin Frederik Konstantinov;TG Hanau;B;Forward;2005;6;182.8;61.9;10.3;13.2;4.3;11.8;0.7;16.7;2.0;1.0;21.5;54.6
Raul Dumnici;Tornados Franken;B;Wing;2007;13;253.0;61.8;4.8;4.9;5.3;14.4;0.8;9.2;2.5;1.0;18.4;47.7
Tin Udovicic;KICKZ IBAM;A;Point;2005;3;93.6;61.6;20.5;21.3;13.5;50.5;3.7;12.1;5.7;3.3;22.4;62.2
Miles David De Koning;Sartorius Juniors;B;Combo;2005;9;241.3;61.1;6.8;7.3;7.3;20.4;1.5;6.9;2.4;0.0;23.7;47.7
Gianluca Christos Pavlidis;Phoenix Hagen;B;Wing;2006;7;218.5;60.1;8.6;11.3;2.1;5.5;0.4;8.3;1.9;1.0;21.5;62.4
Marino Quandt Sorribes;Rostock Seawolves;B;Forward;2006;8;211.7;60.0;7.5;6.5;7.5;21.5;1.1;12.7;1.9;0.5;14.9;51.2
Aurel Bucur;Team Bonn/Rhöndorf;B;Combo;2006;13;290.4;59.6;4.6;5.7;5.4;14.5;1.0;5.8;3.0;1.3;19.3;50.7
Travis Davis;Porsche BBA Ludwigsburg;A;Point;2006;12;313.8;59.1;4.9;4.5;8.9;27.1;1.5;4.1;2.7;0.0;25.9;42.6
Nevio Bennefeld;Alba Berlin;A;Forward;2007;13;295.7;58.9;4.5;4.4;4.4;11.2;0.5;10.3;2.2;3.9;21.2;46.9
Jeremie Okitasumbu;TG Hanau;B;Big;2006;8;259.2;58.3;7.3;7.1;2.7;7.3;0.3;14.4;1.0;4.7;20.3;50.2
Johannes Hellmann;Young Rasta Dragons;A;Wing;2006;13;203.8;57.6;4.4;5.3;2.5;6.6;0.4;7.3;3.5;0.5;15.5;66.3
Emanuel Mpacko;Berlin Braves Baskets;B;Wing;2005;8;159.9;57.5;7.2;7.9;5.8;16.0;1.2;8.3;4.6;2.0;21.9;57.9
Tim Ludwig;Phoenix Hagen;B;Point;2007;8;191.0;57.3;7.2;10.0;3.0;8.3;0.7;6.2;3.8;0.0;30.6;54.3
Luca Förster;Basketball Löwen Erfurt;B;Combo;2007;9;202.6;57.0;6.3;6.9;2.9;6.9;0.4;6.3;4.5;0.4;27.6;56.2
Ols Bauer;Rostock Seawolves;B;Combo;2005;9;252.2;57.0;6.3;6.9;6.4;17.6;1.1;6.6;1.7;0.0;25.0;49.8
Jarne Jürgens;Young Rasta Dragons;A;Forward;2005;11;226.5;56.6;5.1;4.0;3.7;9.9;1.0;11.2;0.9;5.0;12.6;53.8
Jack Kayil;Young Rasta Dragons;A;Point;2006;5;116.3;56.5;11.3;14.5;5.9;17.7;0.9;9.8;7.3;1.9;35.4;62.7
Ernst Möller;Basketball Löwen Erfurt;B;Combo;2007;11;218.7;56.3;5.1;5.4;9.6;26.3;0.9;10.5;2.9;0.0;18.7;46.5
Daniel Biel;Medipolis SC Jena;A;Forward;2007;7;118.3;56.3;8.0;8.9;1.7;4.3;0.2;15.6;3.3;1.8;23.5;68.4
Finn Feldheim;TS Jahn München;B;Big;2005;8;182.8;56.3;7.0;7.5;2.5;6.8;0.3;13.8;2.0;2.2;16.9;64.1
Fynn Thure Benzel;Medipolis SC Jena;A;Forward;2005;12;198.1;55.4;4.6;4.5;6.3;17.8;0.7;16.3;2.8;0.0;19.6;53.4
Eliah Linus Braun;Orange Academy;B;Big;2007;7;119.3;54.9;7.8;9.5;5.2;14.6;0.8;19.7;1.3;5.7;11.9;67.2
Ognjen Cocic;KICKZ IBAM;A;Wing;2005;12;209.4;54.6;4.6;4.5;4.1;11.6;1.1;11.1;2.8;1.5;21.2;45.2
Maximilian zur Linde;Baskets Paderborn;A;Wing;2006;13;266.4;54.6;4.2;4.3;4.9;13.7;1.1;7.6;1.9;1.3;18.7;50.5
Dominik Dolic;FC Bayern München;A;Point;2006;6;164.7;53.4;8.9;10.4;6.4;18.3;1.9;4.4;2.1;0.5;22.7;58.7
Jayson Roth;Sartorius Juniors;B;Forward;2005;10;155.9;52.3;5.2;4.8;7.2;20.4;0.8;14.9;1.6;2.6;13.1;62.8
Matthes Tilsen;Rostock Seawolves;B;Wing;2006;10;234.5;52.1;5.2;4.6;6.0;16.3;0.6;9.9;3.3;1.7;20.9;54.1
Nico Hirtl;TS Jahn München;B;Point;2005;10;260.8;50.9;5.1;5.9;8.6;26.9;1.0;5.9;5.6;0.0;25.2;44.1
Lenny Dittmar;Basketball Löwen Erfurt;B;Forward;2007;8;218.7;50.9;6.4;5.3;6.3;16.5;0.8;10.1;2.1;2.2;17.1;44.8
Callum Macaulay;Team Urspring;A;Combo;2006;12;232.8;50.6;4.2;4.9;5.8;17.2;0.8;5.6;3.0;0.0;16.6;67.9
Tom Timur Arkan;TG Hanau;B;Point;2005;7;204.2;50.5;7.2;9.8;4.6;12.5;1.1;3.0;3.2;0.0;34.7;49.2
Jenö Pildner;Team Urspring;A;Wing;2006;11;230.1;50.4;4.6;4.5;4.2;12.2;0.7;7.7;3.4;3.2;24.0;48.9
Maxim Klanten;Berlin Braves Baskets;B;Forward;2006;13;206.0;49.9;3.8;4.1;1.9;4.7;0.4;12.5;2.2;1.0;21.3;51.2
