PLAYER;TEAM;DIV;POS;BORN;GP;MP;ORTG;DRTG;NRTG;OBPM;DBPM;BPM;VORP;OWS;DWS;WS;WS/40;PER
Amos Bayekula Zikengi;Phoenix Hagen;B;Point;2006;3;60.0;72.3;128.3;-56.1;-3.9;-0.4;-4.3;-0.5;-0.1;-0.2;-0.3;-0.23;3.0
Bastian Nückel;Bamberg freakcity academy;A;Combo;2006;6;81.6;80.6;119.9;-39.3;-4.7;-0.4;-5.1;-0.8;-0.1;-0.2;-0.2;-0.12;3.0
Tim Kati;ART Giants Düsseldorf;B;Forward;2005;8;73.6;65.6;118.1;-52.5;-8.0;-0.5;-8.4;-1.9;-0.3;-0.1;-0.4;-0.24;2.9
Lukas Schütz;Porsche BBA Ludwigsburg;A;Wing;2007;8;67.0;77.2;105.0;-27.8;-3.1;-1.0;-4.1;-0.3;-0.1;0.0;-0.1;-0.05;2.8
Fabian Schwarz;VfL Kirchheim Knights;B;Point;2006;8;35.3;67.9;98.0;-30.1;-5.9;-0.5;-6.4;-0.8;-0.2;0.1;-0.1;-0.15;2.7
Jules Victor Apollon Galvani;Hamburg Towers;A;Forward;2006;4;52.0;97.8;103.2;-5.4;-3.6;0.0;-3.6;-0.1;0.0;0.0;0.0;0.04;2.7
Julius Kessler;ART Giants Düsseldorf;B;Forward;2005;8;51.5;69.9;124.6;-54.6;-6.2;-0.6;-6.8;-1.1;-0.1;-0.1;-0.3;-0.22;2.5
Noah Kagiso Batsile;Eisbären Bremerhaven;A;Forward;2006;5;37.4;58.3;108.4;-50.0;-5.7;0.1;-5.6;-0.6;-0.1;0.0;-0.2;-0.18;2.4
Maurice Reiter;Alba Berlin;A;Forward;2006;6;32.0;54.2;91.1;-36.9;-4.0;-0.3;-4.4;-0.2;-0.1;0.1;-0.1;-0.10;2.4
Maximilian Eichbaum;Bamberg freakcity academy;A;Wing;2007;3;38.2;65.1;107.4;-42.4;-5.0;-0.6;-5.6;-0.7;-0.1;0.0;-0.2;-0.16;2.3
Domenico-Germaine Hansmeier;Baskets Paderborn;A;Combo;2006;9;101.9;65.2;103.6;-38.3;-3.2;-0.2;-3.4;-0.2;-0.2;0.1;-0.1;-0.06;2.0
Fabian Kayser;Baskets Paderborn;A;Combo;2009;2;21.4;69.9;86.1;-16.2;-5.2;-0.9;-6.1;-0.6;0.0;0.0;0.0;-0.03;1.9
Thorge Hunsche;RheinStars Köln;B;Combo;2006;3;20.6;61.0;101.2;-40.3;-4.3;0.0;-4.4;-0.1;-0.1;0.0;-0.1;-0.15;1.8
Iven Mestrovic;TG Hanau;B;Forward;2007;5;66.6;58.0;119.3;-61.3;-5.2;-0.1;-5.3;-0.8;-0.2;-0.2;-0.4;-0.23;1.8
