PLAYER;TEAM;DIV;POS;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;DD;TD
Paul Manuel Raabe;Alba Berlin;A;Wing;2006;5;26.9;7;2;3;1;0;4;12;3;0;0
Giuliano Aufiero;FC Bayern München;A;Wing;2007;3;33.3;7;7;2;3;0;2;7;13;0;0
Daniel Riedrich;KICKZ IBAM;A;Forward;2005;4;62.9;7;14;3;1;0;2;4;11;0;0
Joshua William Greene;FC Bayern München;A;Point;2006;1;18.7;7;1;2;1;0;1;2;6;0;0
Isayah Marcin;FC Bayern München;A;Combo;2007;2;18.7;7;1;2;0;0;3;3;5;0;0
Paul Levi Urban;Berlin Braves Baskets;A;Wing;2005;3;61.2;7;6;3;3;0;2;10;10;0;0
Timon Hoffmann;Baskets Paderborn;A;Forward;2006;3;38.2;6;5;1;0;1;2;6;5;0;0
Johannes Hellmann;Young Rasta Dragons;A;Wing;2006;7;42.6;6;7;2;1;0;1;2;8;0;0
Sebastian Kuhn;Porsche BBA Ludwigsburg;A;Point;2007;3;16.1;6;1;2;2;1;1;0;11;0;0
Niels Dübener;Bayer Giants Leverkusen;A;Wing;2005;3;38.1;6;6;1;2;0;3;1;5;0;0
Finley Prüver;Eintracht Frankfurt;A;Point;2006;2;8.8;6;1;0;2;0;0;2;8;0;0
Miles David De Koning;Sartorius Juniors;A;Point;2005;1;17.6;6;1;1;1;0;6;0;-1;0;0
Leopold Schmidt;Medipolis SC Jena;A;Forward;2007;3;44.7;6;6;0;1;0;3;10;1;0;0
Elias Nold;Baskets Juniors Oldenburg;A;Point;2005;7;58.4;6;3;5;4;1;4;6;8;0;0
Paul Schmidt;Tornados Franken;A;Combo;2006;3;14.9;5;0;0;1;0;0;2;6;0;0
Darijo Kopilovic;Berlin Braves Baskets;A;Combo;2007;3;43.1;5;4;2;3;0;4;4;5;0;0
Theo Roesinger;FC Bayern München;A;Wing;2008;1;13.1;5;1;1;0;0;0;4;5;0;0
Timon Gotsis;KICKZ IBAM;A;Point;2007;2;19.5;5;4;2;2;0;0;5;8;0;0
Alfons Milatz;Niners Chemnitz Academy;A;Forward;2007;1;13.5;5;1;1;0;1;1;1;5;0;0
Alfred Milatz;Niners Chemnitz Academy;A;Wing;2006;2;50.4;5;4;3;0;0;1;1;8;0;0
Carlos Kellner;Sartorius Juniors;A;Combo;2006;1;2.3;5;1;1;0;0;0;0;6;0;0
Teis Hümmels;Sartorius Juniors;A;Big;2005;3;23.1;4;3;1;0;2;1;4;6;0;0
Koray Grenz;FC Bayern München;A;Point;2007;2;15.3;4;1;2;2;0;0;3;8;0;0
Colin Hartig;Niners Chemnitz Academy;A;Wing;2005;2;30.3;4;2;0;1;0;0;2;5;0;0
Dominic Mack;Porsche BBA Ludwigsburg;A;Forward;2007;1;4.0;4;2;0;1;0;0;3;3;0;0
Gunnar Wanninger;KICKZ IBAM;A;Forward;2006;3;18.4;4;3;0;0;0;2;3;3;0;0
Leonard Dertmann;UBC Münster;A;Big;2007;3;27.5;4;7;1;0;1;4;2;8;0;0
Jan Dübener;Bayer Giants Leverkusen;A;Combo;2007;1;15.0;4;1;0;1;0;3;3;-1;0;0
Luca May;Medipolis SC Jena;A;Forward;2006;3;42.7;4;4;0;0;0;3;3;-2;0;0
Tim Rothämel;Medipolis SC Jena;A;Point;2006;1;3.0;3;0;0;1;0;0;0;4;0;0
Dominik Dolic;FC Bayern München;A;Combo;2006;1;15.9;3;2;1;0;0;2;2;0;0;0
Finn Stuhlmeyer;Baskets Juniors Oldenburg;A;Big;2007;3;7.5;3;4;0;0;0;1;3;3;0;0
Gregor Gewinner;Baskets Juniors Oldenburg;A;Point;2007;2;3.4;3;1;0;1;0;1;1;3;0;0
