PLAYER;TEAM;DIV;POS;BORN;GP;MP;PT;RB;AS;ST;BS;TO;PF;EF;PER;PIE
Jeremey Jason Wontroba;Bayer Giants Leverkusen;A;Forward;2005;14;19.1;11.7;5.2;0.6;1.0;0.0;2.1;2.2;8.7;27.5;7.1
Theophilus Badu Agyemang;HAKRO Merlins Crailsheim;B;Forward;2005;10;26.7;11.7;7.8;2.4;2.5;0.5;5.0;2.9;12.7;21.0;10.2
Milo Alexander Murray;Orange Academy;B;Wing;2007;9;27.1;11.7;4.3;1.8;1.0;0.1;3.3;1.4;8.2;16.8;7.7
Lukas Modic;Porsche BBA Ludwigsburg;A;Wing;2005;12;27.3;11.7;5.9;2.9;3.1;0.9;2.2;1.5;16.3;32.1;12.1
Jonathan Paul Zeisberger;KICKZ IBAM;A;Point;2006;13;28.4;11.6;2.7;4.2;1.4;0.1;2.5;2.5;11.5;24.7;8.3
Gaston Nguyen Manh;Sartorius Juniors;B;Point;2008;11;26.8;11.5;1.6;3.5;1.1;0.0;2.1;1.7;10.8;23.8;8.3
David Volz;VfL Kirchheim Knights;B;Combo;2005;13;27.4;11.5;3.2;2.9;0.5;0.1;2.8;1.8;7.5;17.3;5.2
Mats Niggemann;UBC Münster;A;Wing;2005;10;26.6;11.5;5.6;1.8;1.7;0.1;2.0;1.7;12.2;24.6;9.3
Noah Koch;Young Rasta Dragons;A;Wing;2007;8;23.8;11.5;4.5;0.9;2.4;0.1;1.6;1.1;11.3;30.6;9.2
Joscha Eckert;Tornados Franken;B;Point;2005;11;27.8;11.5;3.8;5.1;4.3;0.1;2.8;2.4;14.7;29.7;10.9
Maxwell Revell;Eisbären Bremerhaven;A;Forward;2007;10;25.3;11.4;4.5;0.8;0.7;0.4;3.8;1.3;7.2;15.8;4.8
Filip Nikolov;USC Heidelberg;B;Point;2006;10;27.0;11.4;2.8;2.3;1.6;0.0;4.1;2.6;9.0;18.3;5.7
Travis Davis;Porsche BBA Ludwigsburg;A;Point;2006;12;26.2;11.3;2.0;4.8;1.4;0.0;3.2;1.8;7.0;17.4;4.5
Pablo Schmidt;Tornados Franken;B;Big;2005;12;22.5;11.3;7.3;0.9;0.8;0.7;2.3;3.2;11.7;26.3;5.8
Edolind Paqarada;VfL Kirchheim Knights;B;Point;2005;12;26.0;11.3;2.1;3.3;1.7;0.1;2.9;2.5;8.9;21.0;6.1
